観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),31日の値(mm),31日の値の品質情報,極値更新,10年未満での極値更新,30日までの観測史上1位の値(mm),30日までの観測史上1位の値の品質情報,30日までの観測史上1位の値の年,30日までの観測史上1位の値の月,30日までの観測史上1位の値の日,30日までの6月の1位の値(mm),30日までの6月の1位の値の品質情報,30日までの6月の1位の値の年,30日までの6月の1位の値の月,30日までの6月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2022,05,31,,,1.0,8,,,143.0,8,2020,08,07,45,8,1994,05,27,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2022,05,31,,,2.5,8,,,192.0,8,2016,09,06,57.5,8,1970,05,11,1938
11046,北海道 宗谷地方,礼文（レブン）,,2022,05,31,,,5.5,8,,,164.0,8,2020,08,07,53,8,2005,05,19,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2022,05,31,,,1.5,8,,,152.0,8,2016,09,06,42,8,2006,05,22,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2022,05,31,,,2.5,8,,,139.5,8,2015,07,13,51,8,1999,05,05,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2022,05,31,,,5.0,8,,,176.0,8,2016,09,06,50,8,2007,05,26,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2022,05,31,,,3.5,8,,,106.0,8,2012,09,19,49,8,1994,05,27,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2022,05,31,,,6.0,8,,,167.0,8,2016,09,06,154,8,1978,05,31,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2022,05,31,,,2.5,8,,,110.5,8,2014,08,24,54,8,1994,05,27,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2022,05,31,,,2.0,8,,,115,8,1981,08,05,64,8,1978,05,31,1976
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2022,05,31,,,5.0,8,,,121.5,8,2015,10,08,74,8,1988,05,13,1976
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2022,05,31,,,6.5,8,,,134.0,8,2001,09,10,90.5,8,2014,05,16,1942
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2022,05,31,,,7.5,8,,,145,8,2001,09,10,73,8,1988,05,13,1976
13011,北海道 宗谷地方,幌延（ホロノベ）,,2022,05,31,,,5.0,8,,,100.5,8,2014,08,24,33.0,8,2022,05,04,2006
12011,北海道 上川地方,中川（ナカガワ）,,2022,05,31,,,6.0,8,,,111.0,8,2010,08,14,51,8,2005,05,19,1977
12041,北海道 上川地方,音威子府（オトイネップ）,,2022,05,31,,,6.5,8,,,136,8,2001,09,10,50,8,2005,05,19,1978
12066,北海道 上川地方,小車（オグルマ）,,2022,05,31,,,6.5,8,,,138,8,2006,10,08,27.0,8,2011,05,01,2006
12141,北海道 上川地方,美深（ビフカ）,,2022,05,31,,,7.5,8,,,115.5,8,2014,08,05,41,8,1994,05,27,1976
12181,北海道 上川地方,名寄（ナヨロ）,,2022,05,31,,,8.0,8,,,117.0,8,2010,07,29,55.5,8,2016,05,31,1976
12217,北海道 上川地方,西風連（ニシフウレン）,,2022,05,31,,,7.0,8,,,132.5,8,2011,09,02,55.0,8,2016,05,31,2006
12231,北海道 上川地方,下川（シモカワ）,,2022,05,31,,,7.5,8,,,169,8,1981,08,04,45,8,1998,05,02,1976
12256,北海道 上川地方,剣淵（ケンブチ）,,2022,05,31,,,10.0,8,,,147.0,8,2011,09,02,40.0,8,2022,05,28,2006
12261,北海道 上川地方,士別（シベツ）,,2022,05,31,,,7.0,8,,,153,8,1981,08,04,45,8,1998,05,02,1976
12266,北海道 上川地方,朝日（アサヒ）,,2022,05,31,,,9.0,8,,,168,8,1981,08,04,49,8,1998,05,02,1976
12301,北海道 上川地方,和寒（ワッサム）,,2022,05,31,,,8.0,8,,,151,8,1981,08,04,50,8,1998,05,02,1977
12386,北海道 上川地方,江丹別（エタンベツ）,,2022,05,31,,,18.0,8,,,162.5,8,2011,09,02,70,8,1998,05,02,1977
12396,北海道 上川地方,比布（ピップ）,,2022,05,31,,,12.5,8,,,154,8,1981,08,04,62.0,8,2018,05,31,1976
12411,北海道 上川地方,上川（カミカワ）,,2022,05,31,,,8.5,8,,,146.0,8,2016,08,20,67,8,1998,05,02,1976
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2022,05,31,,,12.0,8,,,184.2,8,1955,08,17,50.7,8,1909,05,08,1888
12451,北海道 上川地方,東川（ヒガシカワ）,,2022,05,31,,,10.0,8,,,143.5,8,2016,08,20,47,8,1998,05,02,1977
12457,北海道 上川地方,瑞穂（ミズホ）,,2022,05,31,,,13.0,8,,,151.0,8,2011,09,02,74.5,8,2008,05,26,1984
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2022,05,31,,,8.5,8,,,195,8,1981,08,05,54,8,1998,05,02,1976
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2022,05,31,,,12.0,8,,,125.5,8,2016,08,20,28.5,8,2014,05,16,2003
12512,北海道 上川地方,志比内（シビナイ）,,2022,05,31,,,7.5,8,,,151.0,8,2011,09,02,46,8,1998,05,02,1993
12551,北海道 上川地方,美瑛（ビエイ）,,2022,05,31,,,12.5,8,,,145.0,8,2016,08,20,51,8,1998,05,02,1976
12596,北海道 上川地方,上富良野（カミフラノ）,,2022,05,31,,,3.0,8,,,205,8,1981,08,05,46,8,1998,05,02,1977
12607,北海道 上川地方,白金（シロガネ）,,2022,05,31,,,8.5,8,,,180.0,8,2016,08,23,71,8,1999,05,05,1984
12626,北海道 上川地方,富良野（フラノ）,,2022,05,31,,,8.0,8,,,193,8,1981,08,05,55,8,1999,05,05,1976
12632,北海道 上川地方,麓郷（ロクゴウ）,,2022,05,31,,,5.5,8,,,172,8,1981,08,05,57,8,1998,05,02,1978
12686,北海道 上川地方,金山（カナヤマ）,,2022,05,31,,,18.0,8,,,133,8,2006,08,18,53.0,8,2019,05,21,2006
12691,北海道 上川地方,幾寅（イクトラ）,,2022,05,31,,,11.5,8,,,168.0,8,2016,08,30,71,8,1978,05,01,1977
12746,北海道 上川地方,占冠（シムカップ）,,2022,05,31,,,15.0,8,,,236,8,2003,08,09,106,8,1994,05,27,1977
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2022,05,31,,,7.5,8,,,149,8,1991,09,06,60,8,1998,05,02,1978
15076,北海道 上川地方,幌加内（ホロカナイ）,,2022,05,31,,,9.5,8,,,160.0,8,2011,09,02,64,8,1998,05,02,1976
13061,北海道 留萌地方,天塩（テシオ）,,2022,05,31,,,7.0,8,,,139,8,1976,08,28,47,8,2005,05,19,1976
13086,北海道 留萌地方,遠別（エンベツ）,,2022,05,31,,,8.5,8,,,136.5,8,2010,08,14,43,8,1998,05,02,1976
13121,北海道 留萌地方,初山別（ショサンベツ）,,2022,05,31,,,8.0,8,,,143,8,2001,09,10,50,8,1998,05,02,1977
13146,北海道 留萌地方,焼尻（ヤギシリ）,,2022,05,31,,,10.0,8,,,163,8,1982,08,21,46.5,8,2020,05,10,1977
13181,北海道 留萌地方,羽幌（ハボロ）,47404,2022,05,31,,,11.5,8,,,140.0,8,1975,09,08,62.0,8,1994,05,27,1921
13206,北海道 留萌地方,古丹別（コタンベツ）,,2022,05,31,,,11.0,8,,,133,8,1978,08,10,63,8,1998,05,02,1976
13261,北海道 留萌地方,達布（タップ）,,2022,05,31,,,9.5,8,,,154,8,1981,08,05,89,8,1998,05,02,1977
13277,北海道 留萌地方,留萌（ルモイ）,47406,2022,05,31,,,11.0,8,,,147.5,8,1973,08,18,61.0,8,1998,05,02,1943
13311,北海道 留萌地方,増毛（マシケ）,,2022,05,31,,,6.5,5,,,139.0,8,2011,09,02,52,8,1999,05,05,1976
13321,北海道 留萌地方,幌糠（ホロヌカ）,,2022,05,31,,,12.0,8,,,218,8,1988,08,25,61,8,1999,05,05,1977
14026,北海道 石狩地方,浜益（ハママス）,,2022,05,31,,,8.0,8,,,182.0,8,2011,09,02,82,8,1994,05,27,1977
14071,北海道 石狩地方,厚田（アツタ）,,2022,05,31,,,14.0,8,,,136,8,1981,08,04,78,8,1998,05,02,1977
14101,北海道 石狩地方,新篠津（シンシノツ）,,2022,05,31,,,16.5,8,,,173,8,1981,08,04,52,8,2000,05,13,1976
14116,北海道 石狩地方,山口（ヤマグチ）,,2022,05,31,,,12.0,8,,,159,8,1981,08,23,40,8,1998,05,02,1976
